county_code,county_name,constituency_code,constituency_name,registered_voters
001,MOMBASA,001,CHANGAMWE,93561
001,MOMBASA,002,JOMVU,75085
001,MOMBASA,003,KISAUNI,135276
001,MOMBASA,004,NYALI,124253
001,MOMBASA,005,LIKONI,94764
001,MOMBASA,006,MVITA,118974
002,KWALE,007,MSAMBWENI,82261
002,KWALE,008,LUNGALUNGA,64854
002,KWALE,009,MATUGA,83015
002,KWALE,010,KINANGO,98123
003,KILIFI,011,KILIFI NORTH,116742
003,KILIFI,012,KILIFI SOUTH,97696
003,KILIFI,013,KALOLENI,73009
003,KILIFI,014,RABAI,59165
003,KILIFI,015,GANZE,67257
003,KILIFI,016,MALINDI,94605
003,KILIFI,017,MAGARINI,80128
004,TANA RIVER,018,GARSEN,55453
004,TANA RIVER,019,GALOLE,39965
004,TANA RIVER,020,BURA,45678
005,LAMU,021,LAMU EAST,22047
005,LAMU,022,LAMU WEST,59406
006,TAITA TAVETA,023,TAVETA,41031
006,TAITA TAVETA,024,WUNDANYI,35008
006,TAITA TAVETA,025,MWATATE,44411
006,TAITA TAVETA,026,VOI,61377
007,GARISSA,027,GARISSA TOWNSHIP,53253
007,GARISSA,028,BALAMBALA,26085
007,GARISSA,029,LAGDERA,26949
007,GARISSA,030,DADAAB,38185
007,GARISSA,031,FAFI,27335
007,GARISSA,032,IJARA,29666
008,WAJIR,033,WAJIR NORTH,33927
008,WAJIR,034,WAJIR EAST,35794
008,WAJIR,035,TARBAJ,25267
008,WAJIR,036,WAJIR WEST,31334
008,WAJIR,037,ELDAS,23359
008,WAJIR,038,WAJIR SOUTH,58077
009,MANDERA,039,MANDERA WEST,37637
009,MANDERA,040,BANISSA,32703
009,MANDERA,041,MANDERA NORTH,45216
009,MANDERA,042,MANDERA SOUTH,34691
009,MANDERA,043,MANDERA EAST,48219
009,MANDERA,044,LAFEY,18564
010,MARSABIT,045,MOYALE,66402
010,MARSABIT,046,NORTH HORR,36855
010,MARSABIT,047,SAKU,30209
010,MARSABIT,048,LAISAMIS,33446
011,ISIOLO,049,ISIOLO NORTH,67323
011,ISIOLO,050,ISIOLO SOUTH,22181
012,MERU,051,IGEMBE SOUTH,77126
012,MERU,052,IGEMBE CENTRAL,93434
012,MERU,053,IGEMBE NORTH,77050
012,MERU,054,TIGANIA WEST,70283
012,MERU,055,TIGANIA EAST,83527
012,MERU,056,NORTH IMENTI,96241
012,MERU,057,BUURI,82341
012,MERU,058,CENTRAL IMENTI,76495
012,MERU,059,SOUTH IMENTI,115642
013,THARAKA - NITHI,060,MAARA,73248
013,THARAKA - NITHI,061,CHUKA/IGAMBANG'OMBE,84674
013,THARAKA - NITHI,062,THARAKA,74010
014,EMBU,063,MANYATTA,106588
014,EMBU,064,RUNYENJES,95326
014,EMBU,065,MBEERE SOUTH,77264
014,EMBU,066,MBEERE NORTH,55124
015,KITUI,067,MWINGI NORTH,68829
015,KITUI,068,MWINGI WEST,57138
015,KITUI,069,MWINGI CENTRAL,74231
015,KITUI,070,KITUI WEST,59047
015,KITUI,071,KITUI RURAL,55000
015,KITUI,072,KITUI CENTRAL,77764
015,KITUI,073,KITUI EAST,65377
015,KITUI,074,KITUI SOUTH,75372
016,MACHAKOS,075,MASINGA,68879
016,MACHAKOS,076,YATTA,82397
016,MACHAKOS,077,KANGUNDO,60796
016,MACHAKOS,078,MATUNGULU,75841
016,MACHAKOS,079,KATHIANI,60224
016,MACHAKOS,080,MAVOKO,132163
016,MACHAKOS,081,MACHAKOS TOWN,117367
016,MACHAKOS,082,MWALA,89898
017,MAKUENI,083,MBOONI,96029
017,MAKUENI,084,KILOME,59178
017,MAKUENI,085,KAITI,65188
017,MAKUENI,086,MAKUENI,102712
017,MAKUENI,087,KIBWEZI WEST,91554
017,MAKUENI,088,KIBWEZI EAST,64740
018,NYANDARUA,089,KINANGOP,115547
018,NYANDARUA,090,KIPIPIRI,54628
018,NYANDARUA,091,OL KALOU,72997
018,NYANDARUA,092,OL JOROK,60147
018,NYANDARUA,093,NDARAGWA,57846
019,NYERI,094,TETU,54986
019,NYERI,095,KIENI,114573
019,NYERI,096,MATHIRA,104492
019,NYERI,097,OTHAYA,61879
019,NYERI,098,MUKURWEINI,58534
019,NYERI,099,NYERI TOWN,87168
020,KIRINYAGA,100,MWEA,131714
020,KIRINYAGA,101,GICHUGU,92495
020,KIRINYAGA,102,NDIA,69743
020,KIRINYAGA,103,KIRINYAGA CENTRAL,82049
021,MURANG'A,104,KANGEMA,52002
021,MURANG'A,105,MATHIOYA,58102
021,MURANG'A,106,KIHARU,119389
021,MURANG'A,107,KIGUMO,82609
021,MURANG'A,108,MARAGWA,102383
021,MURANG'A,109,KANDARA,105148
021,MURANG'A,110,GATANGA,101296
022,KIAMBU,111,GATUNDU SOUTH,79860
022,KIAMBU,112,GATUNDU NORTH,71810
022,KIAMBU,113,JUJA,134638
022,KIAMBU,114,THIKA TOWN,156018
022,KIAMBU,115,RUIRU,172088
022,KIAMBU,116,GITHUNGURI,104592
022,KIAMBU,117,KIAMBU,86986
022,KIAMBU,118,KIAMBAA,104268
022,KIAMBU,119,KABETE,91775
022,KIAMBU,120,KIKUYU,98758
022,KIAMBU,121,LIMURU,93019
022,KIAMBU,122,LARI,81196
023,TURKANA,123,TURKANA NORTH,42937
023,TURKANA,124,TURKANA WEST,42673
023,TURKANA,125,TURKANA CENTRAL,55971
023,TURKANA,126,LOIMA,36515
023,TURKANA,127,TURKANA SOUTH,40432
023,TURKANA,128,TURKANA EAST,20000
024,WEST POKOT,129,KAPENGURIA,66540
024,WEST POKOT,130,SIGOR,43934
024,WEST POKOT,131,KACHELIBA,51146
024,WEST POKOT,132,POKOT SOUTH,58406
025,SAMBURU,133,SAMBURU WEST,43390
025,SAMBURU,134,SAMBURU NORTH,29830
025,SAMBURU,135,SAMBURU EAST,26794
026,TRANS NZOIA,136,KWANZA,75839
026,TRANS NZOIA,137,ENDEBESS,50688
026,TRANS NZOIA,138,SABOTI,87384
026,TRANS NZOIA,139,KIMININI,93240
026,TRANS NZOIA,140,CHERANGANY,91830
027,UASIN GISHU,141,SOY,92702
027,UASIN GISHU,142,TURBO,120202
027,UASIN GISHU,143,MOIBEN,77877
027,UASIN GISHU,144,AINABKOI,62606
027,UASIN GISHU,145,KAPSERET,74809
027,UASIN GISHU,146,KESSES,77942
028,ELGEYO/MARAKWET,147,MARAKWET EAST,43672
028,ELGEYO/MARAKWET,148,MARAKWET WEST,58568
028,ELGEYO/MARAKWET,149,KEIYO NORTH,49247
028,ELGEYO/MARAKWET,150,KEIYO SOUTH,62397
029,NANDI,151,TINDERET,51446
029,NANDI,152,ALDAI,78005
029,NANDI,153,NANDI HILLS,57910
029,NANDI,154,CHESUMEI,74201
029,NANDI,155,EMGWEN,66940
029,NANDI,156,MOSOP,77786
030,BARINGO,157,TIATY,39059
030,BARINGO,158,BARINGO NORTH,50287
030,BARINGO,159,BARINGO CENTRAL,45920
030,BARINGO,160,BARINGO SOUTH,42791
030,BARINGO,161,MOGOTIO,38922
030,BARINGO,162,ELDAMA RAVINE,64074
031,LAIKIPIA,163,LAIKIPIA WEST,118865
031,LAIKIPIA,164,LAIKIPIA EAST,96395
031,LAIKIPIA,165,LAIKIPIA NORTH,47752
032,NAKURU,166,MOLO,77027
032,NAKURU,167,NJORO,113274
032,NAKURU,168,NAIVASHA,157128
032,NAKURU,169,GILGIL,95654
032,NAKURU,170,KURESOI SOUTH,66168
032,NAKURU,171,KURESOI NORTH,70663
032,NAKURU,172,SUBUKIA,55599
032,NAKURU,173,RONGAI,84625
032,NAKURU,174,BAHATI,97040
032,NAKURU,175,NAKURU TOWN WEST,112127
032,NAKURU,176,NAKURU TOWN EAST,125551
033,NAROK,177,KILGORIS,76883
033,NAROK,178,EMURUA DIKIRR,44040
033,NAROK,179,NAROK NORTH,88665
033,NAROK,180,NAROK EAST,46535
033,NAROK,181,NAROK SOUTH,76065
033,NAROK,182,NAROK WEST,66596
034,KAJIADO,183,KAJIADO NORTH,134880
034,KAJIADO,184,KAJIADO CENTRAL,65823
034,KAJIADO,185,KAJIADO EAST,116336
034,KAJIADO,186,KAJIADO WEST,75173
034,KAJIADO,187,KAJIADO SOUTH,71061
035,KERICHO,188,KIPKELION EAST,63679
035,KERICHO,189,KIPKELION WEST,52960
035,KERICHO,190,AINAMOI,85024
035,KERICHO,191,BURETI,95320
035,KERICHO,192,BELGUT,75175
035,KERICHO,193,SIGOWET/SOIN,55909
036,BOMET,194,SOTIK,86681
036,BOMET,195,CHEPALUNGU,80140
036,BOMET,196,BOMET EAST,63640
036,BOMET,197,BOMET CENTRAL,71409
036,BOMET,198,KONOIN,75115
037,KAKAMEGA,199,LUGARI,86908
037,KAKAMEGA,200,LIKUYANI,72449
037,KAKAMEGA,201,MALAVA,94417
037,KAKAMEGA,202,LURAMBI,89627
037,KAKAMEGA,203,NAVAKHOLO,64743
037,KAKAMEGA,204,MUMIAS WEST,53317
037,KAKAMEGA,205,MUMIAS EAST,50568
037,KAKAMEGA,206,MATUNGU,73930
037,KAKAMEGA,207,BUTERE,70224
037,KAKAMEGA,208,KHWISERO,55091
037,KAKAMEGA,209,SHINYALU,76978
037,KAKAMEGA,210,IKOLOMANI,56299
038,VIHIGA,211,VIHIGA,52289
038,VIHIGA,212,SABATIA,70875
038,VIHIGA,213,HAMISI,80384
038,VIHIGA,214,LUANDA,56310
038,VIHIGA,215,EMUHAYA,50185
039,BUNGOMA,216,MT. ELGON,76159
039,BUNGOMA,217,SIRISIA,48717
039,BUNGOMA,218,KABUCHAI,67221
039,BUNGOMA,219,BUMULA,82047
039,BUNGOMA,220,KANDUYI,118333
039,BUNGOMA,221,WEBUYE EAST,48950
039,BUNGOMA,222,WEBUYE WEST,58632
039,BUNGOMA,223,KIMILILI,61587
039,BUNGOMA,224,TONGAREN,84952
040,BUSIA,225,TESO NORTH,59795
040,BUSIA,226,TESO SOUTH,71268
040,BUSIA,227,NAMBALE,50545
040,BUSIA,228,MATAYOS,67708
040,BUSIA,229,BUTULA,67377
040,BUSIA,230,FUNYULA,54031
040,BUSIA,231,BUDALANGI,46032
041,SIAYA,232,UGENYA,69027
041,SIAYA,233,UGUNJA,60114
041,SIAYA,234,ALEGO USONGA,122002
041,SIAYA,235,GEM,93568
041,SIAYA,236,BONDO,104035
041,SIAYA,237,RARIEDA,84849
042,KISUMU,238,KISUMU EAST,93177
042,KISUMU,239,KISUMU WEST,82927
042,KISUMU,240,KISUMU CENTRAL,130149
042,KISUMU,241,SEME,62045
042,KISUMU,242,NYANDO,80757
042,KISUMU,243,MUHORONI,79765
042,KISUMU,244,NYAKACH,77934
043,HOMA BAY,245,KASIPUL,67513
043,HOMA BAY,246,KABONDO KASIPUL,59910
043,HOMA BAY,247,KARACHUONYO,94181
043,HOMA BAY,248,RANGWE,58886
043,HOMA BAY,249,HOMA BAY TOWN,58335
043,HOMA BAY,250,NDHIWA,96734
043,HOMA BAY,251,SUBA NORTH,60674
043,HOMA BAY,252,SUBA SOUTH,54838
044,MIGORI,253,RONGO,59181
044,MIGORI,254,AWENDO,55972
044,MIGORI,255,SUNA EAST,54465
044,MIGORI,256,SUNA WEST,56686
044,MIGORI,257,URIRI,65063
044,MIGORI,258,NYATIKE,73432
044,MIGORI,259,KURIA WEST,62244
044,MIGORI,260,KURIA EAST,41976
045,KISII,261,BONCHARI,64630
045,KISII,262,SOUTH MUGIRANGO,79004
045,KISII,263,BOMACHOGE BORABU,56991
045,KISII,264,BOBASI,106060
045,KISII,265,BOMACHOGE CHACHE,49301
045,KISII,266,NYARIBARI MASABA,68593
045,KISII,267,NYARIBARI CHACHE,88553
045,KISII,268,KITUTU CHACHE NORTH,56970
045,KISII,269,KITUTU CHACHE SOUTH,66908
046,NYAMIRA,270,KITUTU MASABA,106269
046,NYAMIRA,271,WEST MUGIRANGO,88199
046,NYAMIRA,272,NORTH MUGIRANGO,64750
046,NYAMIRA,273,BORABU,64065
047,NAIROBI CITY,274,WESTLANDS,160739
047,NAIROBI CITY,275,DAGORETTI NORTH,157659
047,NAIROBI CITY,276,DAGORETTI SOUTH,114930
047,NAIROBI CITY,277,LANGATA,145649
047,NAIROBI CITY,278,KIBRA,128282
047,NAIROBI CITY,279,ROYSAMBU,153772
047,NAIROBI CITY,280,KASARANI,155250
047,NAIROBI CITY,281,RUARAKA,124482
047,NAIROBI CITY,282,EMBAKASI SOUTH,167953
047,NAIROBI CITY,283,EMBAKASI NORTH,113344
047,NAIROBI CITY,284,EMBAKASI CENTRAL,145892
047,NAIROBI CITY,285,EMBAKASI EAST,154599
047,NAIROBI CITY,286,EMBAKASI WEST,141878
047,NAIROBI CITY,287,MAKADARA,129627
047,NAIROBI CITY,288,KAMUKUNJI,128516
047,NAIROBI CITY,289,STAREHE,169575
047,NAIROBI CITY,290,MATHARE,123163
Total,,,,22102532
